state_code,district_name_en,ac_number,constituency,constituency_hindi,reservation,mapping_confidence,source,source_version
,Lucknow,,Bakshi Kaa Talab,बक्शी का तालाब,,,pramaan-db-baseline,2026-09-11
,Lucknow,,Lucknow North,लखनऊ उत्तर,,,pramaan-db-baseline,2026-09-11
,Lucknow,,Lucknow East,लखनऊ पूर्व,,,pramaan-db-baseline,2026-09-11
,Lucknow,,Lucknow Central,लखनऊ मध्य,,,pramaan-db-baseline,2026-09-11
,Lucknow,,Lucknow West,लखनऊ पश्चिम,,,pramaan-db-baseline,2026-09-11
,Lucknow,,Lucknow Cantonment,लखनऊ छावनी,,,pramaan-db-baseline,2026-09-11
,Lucknow,,Mohanlalganj,मोहनलालगंज,,,pramaan-db-baseline,2026-09-11
,Lucknow,,Malihabad,मलिहाबाद,,,pramaan-db-baseline,2026-09-11
,Lucknow,,Sarojini Nagar,सरोजिनी नगर,,,pramaan-db-baseline,2026-09-11
